1|China|272500000000
2|Japan|182300000000
3|Germany|162300000000
4|Russia|68850000000
5|Norway|60230000000
6|Saudi Arabia|52030000000
7|Switzerland|49350000000
8|Netherlands|46690000000
9|Singapore|40440000000
10|Taiwan|39000000000
11|Kuwait|38200000000
12|Korea South|36350000000
13|Malaysia|34830000000
14|Nigeria|27770000000
15|Venezuela|22070000000
16|Sweden|21680000000
17|Qatar|20110000000
18|Hong Kong|18070000000
19|Azerbaijan|15960000000
20|Libya|15530000000
21|Denmark|14350000000
22|Thailand|12290000000
23|Iran|9760000000
24|Philippines|8575000000
25|Indonesia|8532000000
26|Austria|8012000000
27|Brunei|7024000000
28|Kazakhstan|6993000000
29|Argentina|6976000000
30|Israel|6269000000
31|Uzbekistan|5588000000
32|Finland|4696000000
33|Algeria|3959000000
34|Bangladesh|3734000000
35|United Arab Emirates|3409000000
36|Luxembourg|3396000000
37|Trinidad and Tobago|3363000000
38|Turkmenistan|3081000000
39|Oman|2724000000
40|Iraq|2715000000
41|Angola|2089000000
42|Latvia|1620000000
43|Lithuania|1231000000
44|Timor-Leste|1161000000
45|Chile|1033000000
46|Bolivia|878000000
47|Burma|652000000
48|Syria|649000000
49|Ukraine|603000000
50|Gabon|591000000
51|Bahrain|589000000
52|Cote dIvoire|534000000
53|Egypt|270000000
54|Estonia|265000000
55|Bhutan|164000000
56|British Virgin Islands|134300000
57|Cook Islands|26670000
58|Suriname|24000000
59|Palau|15090000
60|Comoros|8000000
61|Guinea-Bissau|-6000000
62|Tuvalu|-11680000
63|Kiribati|-21000000
64|Laos|-23000000
65|Tonga|-23000000
66|Samoa|-24000000
67|Micronesia Federated States of|-34300000
68|Iceland|-42000000
69|Anguilla|-42870000
70|Vanuatu|-60000000
71|Sierra Leone|-63000000
72|Dominica|-72000000
73|Sao Tome and Principe|-73000000
74|Central African Republic|-77000000
75|Cuba|-87000000
76|Gambia The|-90000000
77|Papua New Guinea|-99000000
78|Zambia|-99000000
79|Lesotho|-125000000
80|Burundi|-136000000
81|Grenada|-138000000
82|Solomon Islands|-143000000
83|Saint Vincent and the Grenadines|-149000000
84|Belize|-151000000
85|Saint Kitts and Nevis|-163000000
86|Mauritania|-184000000
87|Namibia|-187000000
88|Saint Lucia|-199000000
89|Kyrgyzstan|-210000000
90|Antigua and Barbuda|-211000000
91|Eritrea|-212000000
92|Liberia|-224000000
93|Mongolia|-228700000
94|Barbados|-254000000
95|Bahamas The|-283200000
96|Cape Verde|-286000000
97|Guyana|-311000000
98|Malawi|-315000000
99|Niger|-321000000
100|Macedonia|-328000000
101|Tajikistan|-330000000
102|Peru|-333000000
103|Togo|-339000000
104|Seychelles|-351000000
105|Djibouti|-352000000
106|Maldives|-370000000
107|Swaziland|-374000000
108|Uruguay|-377000000
109|Paraguay|-391000000
110|Malta|-403000000
111|Zimbabwe|-414200000
112|Guinea|-434000000
113|Mali|-446000000
114|Nepal|-449000000
115|Burkina Faso|-486000000
116|Rwanda|-489000000
117|Fiji|-507000000
118|Botswana|-552000000
119|Moldova|-565000000
120|Congo Republic of the|-569000000
121|Benin|-582000000
122|Slovenia|-598000000
123|Madagascar|-600000000
124|Hungary|-631000000
125|Ecuador|-692000000
126|Haiti|-781000000
127|Uganda|-784000000
128|Panama|-813000000
129|Nicaragua|-819000000
130|Cameroon|-826000000
131|Bosnia and Herzegovina|-887000000
132|El Salvador|-907000000
133|Cambodia|-918000000
134|Mauritius|-949000000
135|Jordan|-975000000
136|Mozambique|-1028000000
137|Senegal|-1046000000
138|Serbia|-1046000000
139|Honduras|-1048000000
140|Montenegro|-1102000000
141|Belgium|-1129000000
142|Armenia|-1138000000
143|Albania|-1245000000
144|Guatemala|-1345000000
145|Jamaica|-1382000000
146|Tunisia|-1389000000
147|Georgia|-1404000000
148|Kenya|-1414000000
149|Costa Rica|-1469000000
150|Congo Democratic Republic of the|-1470000000
151|Equatorial Guinea|-1477000000
152|Tanzania|-1523000000
153|Bulgaria|-1528000000
154|Sri Lanka|-1784000000
155|Ghana|-1871000000
156|Slovakia|-1930000000
157|Yemen|-2181000000
158|Ethiopia|-2232000000
159|Croatia|-2312000000
160|Afghanistan|-2475000000
161|Cyprus|-2500000000
162|Sudan|-2595000000
163|Chad|-2600000000
164|Pakistan|-2641000000
165|Kosovo|-2716000000
166|Ireland|-3191000000
167|Dominican Republic|-3862000000
168|New Zealand|-4504000000
169|Belarus|-5062000000
170|Colombia|-5946000000
171|Czech Republic|-5956000000
172|Lebanon|-6972000000
173|Mexico|-7000000000
174|Morocco|-7922000000
175|Romania|-7934000000
176|Vietnam|-9622000000
177|Poland|-12330000000
178|South Africa|-16510000000
179|Greece|-17100000000
180|Portugal|-19030000000
181|India|-26910000000
182|Australia|-35230000000
183|Turkey|-38820000000
184|Canada|-40210000000
185|United Kingdom|-40340000000
186|Brazil|-52730000000
187|France|-53290000000
188|Italy|-61980000000
189|Spain|-66740000000
190|United States|-561000000000
