1|Zimbabwe|   578.96
2|Brazil|    47.25
3|Madagascar|    45.00
4|Congo, Democratic Republic of the|    43.15
5|Sao Tome and Principe|    32.40
6|Gambia, The|    27.92
7|Paraguay|    25.81
8|Malawi|    25.28
9|Sierra Leone|    24.50
10|Tajikistan|    23.70
11|Peru|    23.67
12|Venezuela|    22.37
13|Mauritius|    21.54
14|Georgia|    21.24
15|Moldova|    21.06
16|Mongolia|    20.58
17|Uganda|    20.45
18|Dominican Republic|    19.95
19|Kyrgyzstan|    19.86
20|Azerbaijan|    19.76
21|Iraq|    19.50
22|Argentina|    19.47
23|Iceland|    19.29
24|Zambia|    19.06
25|Mozambique|    18.31
26|Serbia|    18.11
27|Yemen|    18.00
28|Honduras|    17.94
29|Haiti|    17.81
30|Ukraine|    17.49
31|Colombia|    17.18
32|Armenia|    17.05
33|Burma|    17.00
34|Jamaica|    16.83
35|Botswana|    16.54
36|Burundi|    16.52
37|Rwanda|    16.51
38|Bangladesh|    16.38
39|Lesotho|    16.19
40|Cambodia|    16.01
41|Sri Lanka|    15.89
42|Costa Rica|    15.83
43|Nigeria|    15.48
44|South Africa|    15.13
45|Liberia|    15.05
46|Romania|    14.99
47|Tanzania|    14.98
48|Afghanistan|    14.92
49|Swaziland|    14.83
50|Guyana|    14.58
51|Solomon Islands|    14.44
52|Micronesia, Federated States of|    14.38
53|Belize|    14.14
54|Kenya|    14.02
55|Kosovo|    13.79
56|Namibia|    13.74
57|Indonesia|    13.60
58|Guatemala|    13.39
59|India|    13.31
60|Chile|    13.26
61|Nicaragua|    13.17
62|Timor-Leste|    13.11
63|Albania|    13.02
64|Maldives|    13.00
65|Samoa|    12.66
66|Angola|    12.53
67|Tonga|    12.46
68|Uruguay|    12.45
69|Trinidad and Tobago|    12.44
70|Bolivia|    12.36
71|Egypt|    12.33
72|Russia|    12.23
73|New Zealand|    12.21
74|Suriname|    12.20
75|Iran|    12.00
76|Latvia|    11.85
77|Seychelles|    11.81
78|Djibouti|    11.56
79|Italy|    11.31
80|Aruba|    11.23
81|Vietnam|    11.18
82|Spain|    11.02
83|Laos|    11.00
84|Bulgaria|    10.86
85|Comoros|    10.50
86|Antigua and Barbuda|    10.43
87|Syria|    10.19
88|Hungary|    10.18
89|Saint Lucia|    10.08
90|Croatia|    10.07
91|Barbados|    10.03
92|Cape Verde|     9.99
93|Lebanon|     9.96
94|Montserrat|     9.89
95|Macedonia|     9.68
96|Netherlands|     9.66
97|Grenada|     9.53
98|Saint Vincent and the Grenadines|     9.52
99|Anguilla|     9.51
100|Montenegro|     9.24
101|Papua New Guinea|     9.20
102|Ecuador|     9.14
103|Dominica|     9.06
104|Jordan|     9.03
105|Australia|     8.91
106|Philippines|     8.75
107|Saint Kitts and Nevis|     8.75
108|Mexico|     8.71
109|Greece|     8.65
110|European Union|     8.58
111|Belarus|     8.55
112|Estonia|     8.55
113|Lithuania|     8.41
114|Portugal|     8.35
115|Netherlands Antilles|     8.33
116|Panama|     8.16
117|France|     8.13
118|Algeria|     8.00
119|Nepal|     8.00
120|Fiji|     7.97
121|El Salvador|     7.81
122|Kuwait|     7.61
123|Slovenia|     7.41
124|Norway|     7.28
125|Cyprus|     7.19
126|West Bank|     7.19
127|Korea, South|     7.17
128|Oman|     7.10
129|Belgium|     7.03
130|Ethiopia|     7.00
131|Bosnia and Herzegovina|     6.98
132|Qatar|     6.84
133|Austria|     6.82
134|Ireland|     6.76
135|Czech Republic|     6.25
136|Malaysia|     6.08
137|Israel|     6.06
138|Libya|     6.00
139|Germany|     5.97
140|Thailand|     5.96
141|Malta|     5.89
142|Finland|     5.79
143|Poland|     5.72
144|Bahamas, The|     5.50
145|Brunei|     5.50
146|Macau|     5.43
147|Singapore|     5.38
148|China|     5.31
149|Vanuatu|     5.29
150|United States|     5.09
151|Hong Kong|     5.00
152|Canada|     4.73
153|United Kingdom|     4.63
154|Taiwan|     4.06
155|Switzerland|     3.34
156|Japan|     1.91
