1|Angola|    23.74
2|Mozambique|    19.83
3|Afghanistan|    17.65
4|South Africa|    16.99
5|Nigeria|    16.31
6|Russia|    16.04
7|Chad|    15.79
8|Lesotho|    15.71
9|Ukraine|    15.70
10|Guinea-Bissau|    15.52
11|Central African Republic|    15.30
12|Somalia|    15.24
13|Swaziland|    14.99
14|Zimbabwe|    14.90
15|Mali|    14.64
16|Niger|    14.47
17|Bulgaria|    14.31
18|Serbia|    13.89
19|Belarus|    13.81
20|Malawi|    13.69
21|Latvia|    13.60
22|Estonia|    13.48
23|Burkina Faso|    13.02
24|Namibia|    12.97
25|Gabon|    12.90
26|Zambia|    12.84
27|Hungary|    12.67
28|Tanzania|    12.31
29|Gambia, The|    12.03
30|Cameroon|    12.01
31|Sierra Leone|    11.97
32|Uganda|    11.90
33|Croatia|    11.83
34|Romania|    11.78
35|Congo, Republic of the|    11.75
36|Sudan|    11.66
37|Congo, Democratic Republic of the|    11.39
38|Ethiopia|    11.29
39|Lithuania|    11.25
40|Germany|    11.00
41|Liberia|    10.88
42|Italy|    10.83
43|Czech Republic|    10.79
44|Moldova|    10.76
45|Portugal|    10.74
46|Slovenia|    10.74
47|Guinea|    10.72
48|Greece|    10.60
49|Korea, North|    10.60
50|Belgium|    10.50
51|Cote dIvoire|    10.43
52|Sweden|    10.20
53|Denmark|    10.19
54|Rwanda|    10.19
55|Finland|    10.15
56|Poland|    10.10
57|Austria|    10.05
58|Burundi|     9.87
59|Isle of Man|     9.87
60|Japan|     9.83
61|Georgia|     9.79
62|Slovakia|     9.56
63|Senegal|     9.49
64|Kazakhstan|     9.39
65|Tuvalu|     9.36
66|United Kingdom|     9.33
67|Equatorial Guinea|     9.26
68|Kenya|     9.26
69|Norway|     9.26
70|Benin|     9.23
71|Western Sahara|     9.13
72|Uruguay|     9.06
73|Botswana|     9.02
74|Mauritania|     9.00
75|Ghana|     8.93
76|Macedonia|     8.87
77|Netherlands|     8.78
78|Montenegro|     8.76
79|Spain|     8.72
80|Bosnia and Herzegovina|     8.71
81|Faroe Islands|     8.66
82|France|     8.65
83|Switzerland|     8.65
84|Malta|     8.49
85|Luxembourg|     8.46
86|Sao Tome and Principe|     8.45
87|Armenia|     8.42
88|Saint Pierre and Miquelon|     8.41
89|Barbados|     8.39
90|United States|     8.38
91|World|     8.37
92|Djibouti|     8.37
93|Guernsey|     8.35
94|Azerbaijan|     8.28
95|Laos|     8.28
96|Eritrea|     8.25
97|Burma|     8.23
98|Haiti|     8.21
99|Trinidad and Tobago|     8.21
100|Cambodia|     8.19
101|Gibraltar|     8.17
102|Togo|     8.15
103|Dominica|     8.12
104|Greenland|     8.05
105|Monaco|     8.01
106|Curacao|     8.00
107|Madagascar|     7.97
108|Grenada|     7.90
109|Canada|     7.87
110|Montserrat|     7.82
111|Puerto Rico|     7.82
112|Palau|     7.81
113|Aruba|     7.76
114|San Marino|     7.75
115|India|     7.53
116|Jersey|     7.49
117|Liechtenstein|     7.49
118|Vanuatu|     7.49
119|Kiribati|     7.48
120|Bermuda|     7.43
121|Comoros|     7.40
122|Argentina|     7.39
123|Cuba|     7.29
124|Bhutan|     7.25
125|Guyana|     7.24
126|Yemen|     7.24
127|Cook Islands|     7.22
128|Saint Kitts and Nevis|     7.11
129|New Zealand|     7.10
130|Pakistan|     7.06
131|Mayotte|     7.05
132|Virgin Islands|     6.96
