1|Angola|   178.13
2|Afghanistan|   151.50
3|Niger|   114.50
4|Mali|   113.66
5|Somalia|   107.42
6|Mozambique|   103.82
7|Central African Republic|   101.60
8|Guinea-Bissau|    98.05
9|Chad|    97.05
10|Nigeria|    92.99
11|Malawi|    83.50
12|Burkina Faso|    82.98
13|Sierra Leone|    80.16
14|Equatorial Guinea|    79.47
15|Congo, Democratic Republic of the|    79.36
16|Ethiopia|    78.99
17|Congo, Republic of the|    77.93
18|Liberia|    76.43
19|Sudan|    72.39
20|Zambia|    68.40
21|Tanzania|    68.13
22|Gambia, The|    67.49
23|Swaziland|    66.71
24|Cote dIvoire|    66.43
25|Rwanda|    65.57
26|Pakistan|    65.32
27|Comoros|    64.61
28|Uganda|    63.70
29|Burundi|    63.38
30|Benin|    63.13
31|Guinea|    63.09
32|Cameroon|    62.15
33|Western Sahara|    61.97
34|Mauritania|    61.94
35|Laos|    61.19
36|Senegal|    57.70
37|Cambodia|    56.94
38|Yemen|    56.77
39|Djibouti|    56.65
40|Lesotho|    56.42
41|Mayotte|    54.75
42|Sao Tome and Principe|    54.64
43|Haiti|    54.02
44|Kenya|    53.49
45|Togo|    53.23
46|Azerbaijan|    52.84
47|Madagascar|    52.84
48|Bangladesh|    52.54
49|Gabon|    50.88
50|Burma|    50.76
51|Korea, North|    50.15
52|Ghana|    49.89
53|India|    49.13
54|Vanuatu|    48.17
55|Bhutan|    46.92
56|Nepal|    46.00
57|Namibia|    45.52
58|Papua New Guinea|    44.59
59|World|    44.13
60|Turkmenistan|    43.84
61|South Africa|    43.78
62|Iran|    43.45
63|Bolivia|    43.41
64|Iraq|    43.16
65|Eritrea|    42.33
66|Kiribati|    40.13
67|Tajikistan|    39.78
68|Timor-Leste|    39.32
69|Mongolia|    38.56
70|Guyana|    37.89
71|Tuvalu|    35.52
72|Zimbabwe|    30.90
73|Kyrgyzstan|    30.25
74|Indonesia|    28.94
75|Trinidad and Tobago|    28.90
76|Morocco|    28.61
77|Maldives|    28.47
78|Cape Verde|    27.89
79|Peru|    27.74
80|Guatemala|    26.91
81|Algeria|    26.75
82|Egypt|    26.20
83|Micronesia, Federated States of|    25.20
84|Kazakhstan|    24.93
85|Turkey|    24.84
86|Marshall Islands|    24.57
87|Nicaragua|    24.16
88|Paraguay|    23.83
89|Samoa|    23.21
90|Dominican Republic|    23.10
91|Uzbekistan|    22.66
92|Belize|    22.52
93|Brazil|    21.86
94|Tunisia|    21.75
95|Vietnam|    21.57
96|Venezuela|    21.07
97|Honduras|    21.04
98|El Salvador|    20.97
99|Libya|    20.87
100|Ecuador|    20.26
101|Philippines|    19.94
102|Armenia|    19.50
103|Solomon Islands|    18.41
104|Suriname|    18.19
105|Sri Lanka|    18.14
106|Mexico|    17.84
107|Gaza Strip|    17.71
108|Bulgaria|    17.26
109|Jordan|    17.03
110|Saint Helena, Ascension, and Tristan da Cunha|    16.98
111|Colombia|    16.87
112|Saudi Arabia|    16.73
113|Thailand|    16.71
114|China|    16.51
115|Lebanon|    16.40
116|Cook Islands|    16.33
117|Syria|    16.14
118|Oman|    16.00
119|Montserrat|    15.80
120|Georgia|    15.67
121|Malaysia|    15.50
122|West Bank|    15.41
123|Albania|    15.11
124|Antigua and Barbuda|    15.10
