1|Oman|    11.40
2|Qatar|    10.00
3|Saudi Arabia|    10.00
4|Iraq|     8.60
5|Jordan|     8.60
6|Israel|     7.30
7|Yemen|     6.60
8|Eritrea|     6.30
9|Macedonia|     6.00
10|Burundi|     5.90
11|Syria|     5.90
12|Maldives|     5.50
13|Mauritania|     5.50
14|Kuwait|     5.30
15|Turkey|     5.30
16|Morocco|     5.00
17|Singapore|     4.90
18|Swaziland|     4.70
19|Bahrain|     4.50
20|Bosnia and Herzegovina|     4.50
21|Brunei|     4.50
22|China|     4.30
23|Greece|     4.30
24|United States|     4.06
25|Libya|     3.90
26|Russia|     3.90
27|Cuba|     3.80
28|Cyprus|     3.80
29|Zimbabwe|     3.80
30|Djibouti|     3.80
31|Namibia|     3.70
32|Angola|     3.60
33|Colombia|     3.40
34|Egypt|     3.40
35|Turkmenistan|     3.40
36|Algeria|     3.30
37|Botswana|     3.30
38|Guinea-Bissau|     3.10
39|United Arab Emirates|     3.10
40|Lebanon|     3.10
41|Australia|     3.00
42|Cambodia|     3.00
43|Sudan|     3.00
44|Solomon Islands|     3.00
45|Pakistan|     3.00
46|Indonesia|     3.00
47|Rwanda|     2.90
48|Armenia|     2.80
49|Comoros|     2.80
50|Kenya|     2.80
51|Chile|     2.70
52|Korea, South|     2.70
53|Azerbaijan|     2.60
54|Sri Lanka|     2.60
55|Lesotho|     2.60
56|France|     2.60
57|Bulgaria|     2.60
58|Congo, Democratic Republic of the|     2.50
59|Iran|     2.50
60|Vietnam|     2.50
61|India|     2.50
62|United Kingdom|     2.40
63|Croatia|     2.39
64|Portugal|     2.30
65|Sierra Leone|     2.30
66|Uganda|     2.20
67|Taiwan|     2.20
68|Burma|     2.10
69|Malaysia|     2.03
70|World|     2.00
71|Seychelles|     2.00
72|Uzbekistan|     2.00
73|Estonia|     2.00
74|Finland|     2.00
75|Afghanistan|     1.90
76|Romania|     1.90
77|Georgia|     1.90
78|Mali|     1.90
79|Norway|     1.90
80|Fiji|     1.90
81|Slovakia|     1.87
82|Guyana|     1.80
83|Zambia|     1.80
84|Thailand|     1.80
85|Italy|     1.80
86|Hungary|     1.75
87|Poland|     1.71
88|Brazil|     1.70
89|Chad|     1.70
90|Ghana|     1.70
91|Slovenia|     1.70
92|South Africa|     1.70
93|Nepal|     1.60
94|Netherlands|     1.60
95|Uruguay|     1.60
96|Togo|     1.60
97|Cote dIvoire|     1.50
98|Sweden|     1.50
99|Tajikistan|     1.50
100|Peru|     1.50
101|Nigeria|     1.50
102|Germany|     1.50
103|Albania|     1.49
104|Czech Republic|     1.46
105|Belarus|     1.40
106|Mongolia|     1.40
107|Belize|     1.40
108|Papua New Guinea|     1.40
109|Tunisia|     1.40
110|Ukraine|     1.40
111|Senegal|     1.40
112|Bangladesh|     1.30
113|Cameroon|     1.30
114|Denmark|     1.30
115|Bolivia|     1.30
116|Liberia|     1.30
117|Niger|     1.30
118|Malawi|     1.30
119|Belgium|     1.30
120|Burkina Faso|     1.20
121|Latvia|     1.20
122|Spain|     1.20
123|Venezuela|     1.20
124|Ethiopia|     1.20
125|Lithuania|     1.20
126|Canada|     1.10
127|Guinea|     1.10
128|Kazakhstan|     1.10
129|Benin|     1.00
130|Switzerland|     1.00
131|Paraguay|     1.00
132|Panama|     1.00
133|New Zealand|     1.00
134|Madagascar|     1.00
135|Bhutan|     1.00
136|Central African Republic|     0.90
137|Congo, Republic of the|     0.90
138|Ecuador|     0.90
139|Gambia, The|     0.90
140|Ireland|     0.90
141|Tonga|     0.90
142|Somalia|     0.90
143|Philippines|     0.90
144|Luxembourg|     0.90
145|Gabon|     0.90
146|Argentina|     0.80
147|Sao Tome and Principe|     0.80
148|Japan|     0.80
149|Mozambique|     0.80
150|Austria|     0.80
151|Barbados|     0.80
152|Bahamas, The|     0.70
153|Malta|     0.70
154|Dominican Republic|     0.70
155|Costa Rica|     0.60
156|Honduras|     0.60
157|Suriname|     0.60
158|Nicaragua|     0.60
159|Jamaica|     0.60
160|El Salvador|     0.60
161|Antigua and Barbuda|     0.50
162|Kyrgyzstan|     0.50
163|Mexico|     0.50
164|Laos|     0.50
165|Cape Verde|     0.50
166|Guatemala|     0.40
167|Haiti|     0.40
168|Moldova|     0.40
169|Mauritius|     0.30
170|Trinidad and Tobago|     0.30
171|Tanzania|     0.20
172|Bermuda|     0.11
173|Equatorial Guinea|     0.10
174|Iceland|     0.00
