1|United States|18690000
2|European Union|13680000
3|China|8200000
4|Japan|4363000
5|India|2980000
6|Russia|2740000
7|Brazil|2460000
8|Germany|2437000
9|Saudi Arabia|2430000
10|Korea, South|2185000
11|Canada|2151000
12|Mexico|2078000
13|France|1875000
14|Iran|1700000
15|United Kingdom|1669000
16|Italy|1537000
17|Spain|1482000
18|Indonesia|1115000
19|Australia|         946300
20|Netherlands|         922800
21|Taiwan|         910000
22|Singapore|         878000
23|Venezuela|         740000
24|Iraq|         687000
25|Egypt|         683000
26|Argentina|         622000
27|Belgium|         608200
28|Turkey|         579500
29|South Africa|         579000
30|Poland|         545400
31|Malaysia|         536000
32|United Arab Emirates|         435000
33|Greece|         414400
34|Pakistan|         373000
35|Hong Kong|         359000
36|Thailand|         356000
37|Ukraine|         348000
38|Sweden|         328100
39|Algeria|         325000
40|Kuwait|         320000
41|Philippines|         313000
42|Vietnam|         302000
43|Colombia|         288000
44|Libya|         280000
45|Nigeria|         280000
46|Switzerland|         280000
47|Chile|         277000
48|Austria|         273700
49|Portugal|         272200
50|Syria|         252000
51|Kazakhstan|         241000
52|Israel|         231000
53|Romania|         214000
54|Czech Republic|         207600
55|Finland|         206200
56|Norway|         204100
57|Morocco|         187000
58|Ecuador|         181000
59|Belarus|         173000
60|Cuba|         169000
61|Denmark|         166500
62|Ireland|         164600
63|Puerto Rico|         164100
64|Hungary|         158200
65|Peru|         157000
66|Yemen|         155000
67|New Zealand|         154100
68|Uzbekistan|         145000
69|Qatar|         142000
70|Azerbaijan|         136000
71|Bulgaria|         125000
72|Turkmenistan|         120000
73|Dominican Republic|         118000
74|Jordan|         108000
75|Croatia|         106000
76|Bangladesh|          96000
77|Panama|          93000
78|Lebanon|          90000
79|Serbia|          90000
80|Sri Lanka|          90000
81|Tunisia|          89000
82|Virgin Islands|          88820
83|Oman|          84000
84|Sudan|          84000
85|Slovakia|          79930
86|Guatemala|          79000
87|Jamaica|          77000
88|Kenya|          76000
89|Lithuania|          74000
90|Angola|          70000
91|Netherlands Antilles|          69000
92|Slovenia|          60000
93|Bolivia|          59000
94|Cyprus|          59000
95|Ghana|          57000
96|Honduras|          56000
97|Luxembourg|          50720
98|Armenia|          49000
99|El Salvador|          46000
100|Costa Rica|          44000
101|Trinidad and Tobago|          43000
102|Burma|          42000
103|Latvia|          40000
104|Uruguay|          40000
105|Bahrain|          39000
106|Senegal|          39000
107|Ethiopia|          38000
108|Tajikistan|          38000
109|Albania|          36000
110|Papua New Guinea|          36000
111|Bahamas, The|          36000
112|Tanzania|          34000
113|Bosnia and Herzegovina|          30000
114|Estonia|          30000
115|Nicaragua|          29000
116|Paraguay|          27000
117|Cameroon|          26000
118|Cote dIvoire|          24000
119|West Bank|          24000
120|Benin|          23000
121|Mauritius|          23000
122|Namibia|          22000
123|Gibraltar|          21000
124|Togo|          21000
125|Madagascar|          21000
126|Macedonia|          20000
127|Mauritania|          20000
128|Malta|          19000
129|Moldova|          19000
130|Iceland|          18900
131|Mozambique|          18000
132|Nepal|          18000
133|Brunei|          16000
134|Zambia|          16000
135|Mongolia|          16000
136|Korea, North|          16000
137|Macau|          16000
138|Botswana|          15000
139|Kyrgyzstan|          15000
140|Gabon|          14000
141|Suriname|          14000
142|Georgia|          13000
143|Uganda|          13000
144|New Caledonia|          13000
145|Djibouti|          12000
146|Haiti|          12000
147|Fiji|          11000
148|Zimbabwe|          11000
149|Congo, Democratic Republic of the|          10000
150|Guyana|          10000
151|Congo, Republic of the|          10000
152|Barbados|           9000
153|Burkina Faso|           9000
154|Sierra Leone|           9000
155|Guinea|           9000
156|Aruba|           8000
157|Malawi|           8000
158|Belize|           7000
159|Seychelles|           7000
160|French Polynesia|           7000
161|Maldives|           6000
162|Rwanda|           6000
163|Niger|           6000
164|Mali|           6000
165|Afghanistan|           5000
166|Antigua and Barbuda|           5000
167|Bermuda|           5000
168|Somalia|           5000
169|Montenegro|           5000
170|Faroe Islands|           5000
171|Eritrea|           5000
172|American Samoa|           4000
173|Swaziland|           4000
174|Greenland|           4000
175|Liberia|           4000
176|Cambodia|           4000
177|Burundi|           3000
178|Cayman Islands|           3000
179|Saint Lucia|           3000
180|Laos|           3000
181|Guinea-Bissau|           3000
182|Grenada|           3000
183|Timor-Leste|           2500
184|Cape Verde|           2000
185|Western Sahara|           2000
186|Solomon Islands|           2000
187|Central African Republic|           2000
188|Lesotho|           2000
189|Saint Vincent and the Grenadines|           2000
190|Gambia, The|           2000
191|Bhutan|           1000
192|Vanuatu|           1000
193|Tonga|           1000
194|Sao Tome and Principe|           1000
195|Samoa|           1000
196|Saint Pierre and Miquelon|           1000
197|Saint Kitts and Nevis|           1000
198|Nauru|           1000
199|Montserrat|           1000
200|Cook Islands|           1000
201|Equatorial Guinea|           1000
202|Dominica|           1000
203|Comoros|           1000
204|British Virgin Islands|           1000
205|Chad|           1000
206|Falkland Islands (Islas Malvinas)|              0
207|Turks and Caicos Islands|              0
208|Saint Helena, Ascension, and Tristan da Cunha|              0
