1|United States|11310000
2|European Union|8613000
3|Japan|5033000
4|China|4393000
5|Korea, South|3074000
6|India|2900000
7|Germany|2862000
8|Netherlands|2426000
9|France|2386000
10|Singapore|2109000
11|Italy|1911000
12|Spain|1716000
13|Thailand|1695000
14|United Kingdom|1491000
15|Canada|1192000
16|Belgium|1120000
17|Taiwan|         931300
18|Turkey|         734600
19|Australia|         716700
20|Indonesia|         671000
21|Brazil|         632900
22|Sweden|         589900
23|Poland|         553900
24|Mexico|         521100
25|Greece|         520900
26|South Africa|         490500
27|Virgin Islands|         480600
28|Belarus|         444800
29|Hong Kong|         440000
30|Philippines|         342200
31|Finland|         337900
32|Portugal|         323000
33|Pakistan|         319500
34|Israel|         318900
35|Malaysia|         314600
36|Chile|         311200
37|Netherlands Antilles|         298500
38|Austria|         298400
39|Switzerland|         269400
40|Aruba|         236400
41|Bahrain|         228400
42|Puerto Rico|         225000
43|Czech Republic|         219900
44|Romania|         217000
45|Lithuania|         204000
46|Morocco|         195800
47|Ireland|         192900
48|United Arab Emirates|         192900
49|Bulgaria|         189000
50|Hungary|         181800
51|Denmark|         173100
52|Nigeria|         170000
53|Kazakhstan|         164000
54|Iran|         162500
55|Ukraine|         147600
56|Slovakia|         144000
57|New Zealand|         143900
58|Vietnam|         134200
59|Peru|         133100
60|Croatia|         122100
61|Iraq|         116900
62|Dominican Republic|         116200
63|Jordan|         108200
64|Norway|         107500
65|Cuba|         104800
66|Trinidad and Tobago|          92480
67|Sri Lanka|          90000
68|Bangladesh|          87660
69|Tunisia|          87300
70|Panama|          87100
71|Lebanon|          86750
72|Cote dIvoire|          80960
73|Kenya|          80530
74|Saudi Arabia|          79250
75|Jamaica|          77720
76|Serbia|          72570
77|Guatemala|          72440
78|Yemen|          65860
79|Luxembourg|          59210
80|Cyprus|          58930
81|Syria|          58710
82|Slovenia|          57000
83|Ecuador|          54190
84|Uruguay|          52730
85|Argentina|          52290
86|Egypt|          48450
87|Costa Rica|          47860
88|El Salvador|          46310
89|Honduras|          46130
90|Cameroon|          45520
91|Ghana|          45380
92|Armenia|          45200
93|Latvia|          43400
94|Senegal|          42850
95|Russia|          42000
96|Uzbekistan|          35810
97|Ethiopia|          33590
98|Cambodia|          30970
99|Estonia|          30590
100|Nicaragua|          29570
101|Benin|          28900
102|Angola|          28090
103|Tanzania|          28070
104|Bosnia and Herzegovina|          25990
105|Gibraltar|          25610
106|Paraguay|          25100
107|Albania|          24080
108|Mauritius|          22200
109|West Bank|          22150
110|Mauritania|          20610
111|Bahamas, The|          20560
112|Fiji|          20340
113|Macedonia|          20000
114|Namibia|          19120
115|Burma|          18250
116|Malta|          17910
117|Oman|          17290
118|Madagascar|          16940
119|Nepal|          16920
120|Georgia|          16590
121|Colombia|          16540
122|Iceland|          16390
123|Togo|          15270
124|Botswana|          15180
125|Zambia|          14730
126|New Caledonia|          14430
127|Papua New Guinea|          14380
128|Algeria|          14320
129|Moldova|          14230
130|Korea, North|          13890
131|Zimbabwe|          13830
132|Mozambique|          13760
133|Uganda|          13090
134|Kyrgyzstan|          12850
135|Haiti|          12280
136|Sudan|          11400
137|Congo, Democratic Republic of the|          11350
138|Guyana|          10550
139|Barbados|          10390
140|Tajikistan|          10100
141|Macau|           9294
142|Guinea|           8674
143|Djibouti|           8476
144|Sierra Leone|           8316
145|Burkina Faso|           8283
146|Seychelles|           7653
147|Belize|           7204
148|Malawi|           6960
149|French Polynesia|           6701
150|Somalia|           6387
151|Suriname|           6296
152|Bolivia|           6172
153|Montenegro|           6093
154|Rwanda|           5623
155|Maldives|           5490
156|Niger|           5367
157|Greenland|           5172
158|Faroe Islands|           4922
159|Eritrea|           4790
160|Antigua and Barbuda|           4690
161|Bermuda|           4500
162|Afghanistan|           4404
163|Mali|           4402
164|Liberia|           4263
165|Gabon|           4185
166|American Samoa|           4140
167|Swaziland|           4100
168|Cayman Islands|           3294
169|Laos|           3080
170|Azerbaijan|           2848
171|Saint Lucia|           2747
172|Guinea-Bissau|           2545
173|Burundi|           2495
174|Gambia, The|           2266
175|Central African Republic|           2203
176|Congo, Republic of the|           2136
177|Grenada|           1923
178|Western Sahara|           1702
179|Cape Verde|           1619
180|Chad|           1571
181|Lesotho|           1553
182|Saint Vincent and the Grenadines|           1451
183|Solomon Islands|           1323
184|Bhutan|           1250
185|Saint Kitts and Nevis|           1225
186|Tonga|           1173
187|Equatorial Guinea|           1114
188|Samoa|           1105
189|Nauru|           1026
190|Dominica|            838
191|Comoros|            766
192|Sao Tome and Principe|            726
193|British Virgin Islands|            691
194|Vanuatu|            654
195|Libya|            575
196|Saint Pierre and Miquelon|            564
197|Montserrat|            521
198|Cook Islands|            495
199|Falkland Islands (Islas Malvinas)|            271
200|Kiribati|            261
201|Brunei|            238
202|Saint Helena, Ascension, and Tristan da Cunha|             80
203|Turks and Caicos Islands|             80
204|Niue|             31
205|Kuwait|              0
206|Mongolia|              0
207|Venezuela|              0
208|Turkmenistan|              0
209|Qatar|              0
