1|China|1330141295
2|India|1173108018
3|United States|310232863
4|Indonesia|242968342
5|Brazil|201103330
6|Pakistan|184404791
7|Bangladesh|156118464
8|Nigeria|152217341
9|Russia|139390205
10|Japan|126804433
11|Mexico|112468855
12|Philippines|99900177
13|Vietnam|89571130
14|Ethiopia|88013491
15|Germany|82282988
16|Egypt|80471869
17|Turkey|77804122
18|Iran|76923300
19|Congo, Democratic Republic of the|70916439
20|Thailand|67089500
21|France|64768389
22|United Kingdom|62348447
23|Italy|58090681
24|Burma|53414374
25|South Africa|49109107
26|Korea, South|48636068
27|Spain|46505963
28|Ukraine|45415596
29|Colombia|44205293
30|Sudan|43939598
31|Tanzania|41892895
32|Argentina|41343201
33|Kenya|40046566
34|Poland|38463689
35|Algeria|34586184
36|Canada|33759742
37|Uganda|33398682
38|Morocco|31627428
39|Peru|29907003
40|Iraq|29671605
41|Afghanistan|29121286
42|Nepal|28951852
43|Malaysia|28274729
44|Uzbekistan|27865738
45|Venezuela|27223228
46|Saudi Arabia|25731776
47|Ghana|24339838
48|Yemen|23495361
49|Taiwan|23024956
50|Korea, North|22757275
51|Syria|22198110
52|Mozambique|22061451
53|Romania|21959278
54|Australia|21515754
55|Sri Lanka|21513990
56|Madagascar|21281844
57|Cote dIvoire|21058798
58|Cameroon|19294149
59|Netherlands|16783092
60|Chile|16746491
61|Burkina Faso|16241811
62|Niger|15878271
63|Kazakhstan|15460484
64|Malawi|15447500
65|Ecuador|14790608
66|Cambodia|14453680
67|Mali|13796354
68|Guatemala|13550440
69|Zambia|13460305
70|Angola|13068161
71|Senegal|12323252
72|Zimbabwe|11651858
73|Cuba|11477459
74|Rwanda|11055976
75|Greece|10749943
76|Portugal|10735765
77|Tunisia|10589025
78|Chad|10543464
79|Belgium|10423493
80|Guinea|10324025
81|Czech Republic|10201707
82|Somalia|10112453
83|Hungary|9992339
84|Bolivia|9947418
85|Burundi|9863117
86|Dominican Republic|9823821
87|Haiti|9719932
88|Belarus|9612632
89|Sweden|9074055
90|Benin|9056010
91|Azerbaijan|8303512
92|Austria|8214160
93|Honduras|7989415
94|Switzerland|7623438
95|Tajikistan|7487489
96|Israel|7353985
97|Serbia|7344847
98|Bulgaria|7148785
99|Hong Kong|7089705
100|Togo|6587239
101|Libya|6461454
102|Jordan|6407085
103|Paraguay|6375830
104|Laos|6368162
105|Papua New Guinea|6064515
106|El Salvador|6052064
107|Nicaragua|5995928
108|Eritrea|5792984
109|Denmark|5515575
110|Kyrgyzstan|5508626
111|Slovakia|5470306
112|Finland|5255068
113|Sierra Leone|5245695
114|United Arab Emirates|4975593
115|Turkmenistan|4940916
116|Central African Republic|4844927
117|Singapore|4701069
118|Norway|4676305
119|Ireland|4622917
120|Bosnia and Herzegovina|4621598
121|Georgia|4600825
122|Costa Rica|4516220
123|Croatia|4486881
124|Moldova|4317483
125|New Zealand|4252277
126|Congo, Republic of the|4125916
127|Lebanon|4125247
128|Puerto Rico|3978702
129|Liberia|3685076
130|Lithuania|3545319
131|Uruguay|3510386
132|Panama|3410676
133|Mauritania|3205060
134|Mongolia|3086918
135|Albania|2986952
136|Oman|2967717
137|Armenia|2966802
138|Jamaica|2847232
139|Kuwait|2789132
140|West Bank|2514845
141|Latvia|2217969
142|Namibia|2128471
143|Macedonia|2072086
144|Botswana|2029307
145|Slovenia|2003136
146|Lesotho|1919552
147|Gambia, The|1824158
148|Kosovo|1815048
149|Gaza Strip|1604238
150|Guinea-Bissau|1565126
151|Gabon|1545255
152|Swaziland|1354051
153|Mauritius|1294104
154|Estonia|1291170
155|Trinidad and Tobago|1228691
156|Timor-Leste|1154625
157|Cyprus|1102677
158|Fiji|875983
159|Qatar|840926
160|Comoros|773407
161|Guyana|748486
162|Djibouti|740528
163|Bahrain|738004
164|Bhutan|699847
165|Montenegro|666730
166|Equatorial Guinea|650702
167|Macau|567957
168|Solomon Islands|559198
169|Cape Verde|508659
170|Luxembourg|497538
171|Western Sahara|491519
172|Suriname|486618
173|Malta|406771
174|Maldives|395650
175|Brunei|395027
176|Belize|314522
177|Bahamas, The|310426
178|Iceland|308910
179|French Polynesia|291000
180|Barbados|285653
181|New Caledonia|252352
182|Mayotte|231139
183|Netherlands Antilles|228693
184|Vanuatu|221552
185|Samoa|192001
186|Sao Tome and Principe|175808
187|Saint Lucia|160922
188|Curacao|142180
189|Tonga|122580
190|Virgin Islands|109750
191|Grenada|107818
192|Micronesia, Federated States of|107154
193|Aruba|104589
194|Saint Vincent and the Grenadines|104217
195|Kiribati|99482
196|Jersey|93363
197|Seychelles|88340
198|Antigua and Barbuda|86754
199|Andorra|84525
200|Isle of Man|83859
201|Dominica|72813
202|Bermuda|68265
203|American Samoa|66432
204|Marshall Islands|65859
205|Guernsey|64775
206|Greenland|57637
207|Cayman Islands|50209
208|Saint Kitts and Nevis|49898
209|Faroe Islands|49057
210|Northern Mariana Islands|48317
211|Sint Maarten|37429
212|Liechtenstein|35002
213|San Marino|31477
214|Monaco|30586
215|Saint Martin|30235
216|Gibraltar|28877
217|British Virgin Islands|24939
218|Turks and Caicos Islands|23528
219|Palau|20879
220|Akrotiri|15700
221|Dhekelia|15700
222|Wallis and Futuna|15343
223|Anguilla|14766
224|Cook Islands|11488
225|Tuvalu|10472
226|Nauru|9267
227|Saint Helena, Ascension, and Tristan da Cunha|7670
228|Saint Barthelemy|7406
229|Saint Pierre and Miquelon|5943
230|Montserrat|5118
231|Falkland Islands (Islas Malvinas)|3140
232|Norfolk Island|2155
233|Svalbard|2067
234|Christmas Island|1402
235|Tokelau|1400
236|Niue|1354
237|Holy See (Vatican City)|            829
238|Cocos (Keeling) Islands|            596
239|Pitcairn Islands|             48
