1|United States|32610000000000
2|European Union|22650000000000
3|Japan|16390000000000
4|China|8156000000000
5|Germany|5200000000000
6|United Kingdom|5151000000000
7|France|4319000000000
8|Spain|3683000000000
9|Italy|3274000000000
10|Canada|2963000000000
11|Brazil|2104000000000
12|Netherlands|2083000000000
13|Australia|1731000000000
14|India|1164000000000
15|Korea, South|1057000000000
16|Switzerland|992600000000
17|Belgium|801100000000
18|Ireland|745700000000
19|Taiwan|661400000000
20|Austria|659200000000
21|Sweden|640200000000
22|Denmark|636500000000
23|Portugal|556300000000
24|Russia|549900000000
25|Greece|419900000000
26|Norway|414500000000
27|Turkey|401800000000
28|Luxembourg|395100000000
29|Hong Kong|374800000000
30|Mexico|342400000000
31|Thailand|336000000000
32|South Africa|328300000000
33|Malaysia|314700000000
34|United Arab Emirates|290000000000
35|Poland|288700000000
36|Finland|259200000000
37|Indonesia|253100000000
38|New Zealand|206200000000
39|Singapore|199800000000
40|Israel|169900000000
41|Chile|153600000000
42|Egypt|145600000000
43|Iran|132200000000
44|Vietnam|132100000000
45|Colombia|123000000000
46|Czech Republic|119500000000
47|Argentina|113900000000
48|Ukraine|110800000000
49|Cyprus|101200000000
50|Hungary|99060000000
51|Kuwait|96710000000
52|Philippines|95540000000
53|Morocco|93210000000
54|Romania|77460000000
55|Nigeria|77430000000
56|Pakistan|71450000000
57|Qatar|70900000000
58|Slovakia|65090000000
59|Lebanon|62680000000
60|Bangladesh|62200000000
61|Libya|55030000000
62|Venezuela|54220000000
63|Slovenia|52670000000
64|Croatia|48620000000
65|Iceland|46030000000
66|Kazakhstan|44530000000
67|Bulgaria|34540000000
68|Tunisia|31100000000
69|Peru|28900000000
70|Latvia|27590000000
71|Syria|27140000000
72|Jordan|26850000000
73|Lithuania|25350000000
74|Panama|23200000000
75|Oman|22050000000
76|Iraq|21940000000
77|Dominican Republic|21630000000
78|Belarus|19990000000
79|Estonia|18940000000
80|Serbia|18880000000
81|Bahrain|18460000000
82|Sri Lanka|18340000000
83|Angola|17520000000
84|Costa Rica|15820000000
85|Guatemala|15580000000
86|Ecuador|14920000000
87|Kenya|14110000000
88|Malta|13690000000
89|Algeria|12290000000
90|Saudi Arabia|11240000000
91|Uruguay|10490000000
92|Mauritius|10230000000
93|Sudan|10150000000
94|Bosnia and Herzegovina|10090000000
95|El Salvador|10010000000
96|Nepal|9000000000
97|Ethiopia|8661000000
98|Burma|8552000000
99|Bolivia|8314000000
100|Azerbaijan|8135000000
101|Bahamas, The|7993000000
102|Jamaica|7922000000
103|San Marino|7875000000
104|Albania|7701000000
105|Honduras|7581000000
106|Ghana|7155000000
107|Uzbekistan|6482000000
108|Cote dIvoire|5448000000
109|Yemen|5297000000
110|Namibia|5122000000
111|Barbados|4554000000
112|Paraguay|4395000000
113|Nicaragua|4083000000
114|Macedonia|4001000000
115|Senegal|3516000000
116|Netherlands Antilles|3408000000
117|Montenegro|3290000000
118|Georgia|3243000000
119|Zambia|2992000000
120|Trinidad and Tobago|2924000000
121|Eritrea|2919000000
122|Papua New Guinea|2796000000
123|Mozambique|2740000000
124|Cambodia|2195000000
125|Moldova|2110000000
126|Turkmenistan|2089000000
127|Uganda|1882000000
128|Armenia|1821000000
129|West Bank|1800000000
130|Malawi|1720000000
131|Macau|1717000000
132|Mongolia|1664000000
133|Haiti|1632000000
134|Congo, Republic of the|1580000000
135|Laos|1562000000
136|Maldives|1548000000
137|Equatorial Guinea|1534000000
138|Saint Lucia|1378000000
139|Burkina Faso|1373000000
140|Botswana|1361000000
141|Aruba|1333000000
142|Belize|1291000000
143|Brunei|1274000000
144|Benin|1222000000
145|Tajikistan|1209000000
146|Liberia|1202000000
147|Cape Verde|1179000000
148|Antigua and Barbuda|1130000000
149|Gabon|1074000000
150|Madagascar|1020000000
151|Mali|994900000
152|Chad|943800000
153|Cameroon|848800000
154|Togo|817700000
155|Suriname|793100000
156|Saint Kitts and Nevis|790800000
157|Guyana|754000000
158|Guinea|734400000
159|Niger|683600000
160|Seychelles|678500000
161|Grenada|658000000
162|Rwanda|600400000
163|Anguilla|529600000
164|Kyrgyzstan|505400000
165|Burundi|465700000
166|Saint Vincent and the Grenadines|417400000
167|Afghanistan|363600000
168|Central African Republic|357600000
169|Djibouti|339000000
170|Gambia, The|293500000
171|Vanuatu|274000000
172|Swaziland|258500000
173|Samoa|243000000
174|Solomon Islands|221900000
175|Dominica|213600000
176|Sierra Leone|178400000
177|Lesotho|177700000
178|Tonga|149200000
179|Timor-Leste|127100000
180|Comoros|79750000
181|Micronesia, Federated States of|65680000
182|Guinea-Bissau|42560000
183|Sao Tome and Principe|17140000
184|Montserrat|9930000
185|Tanzania|4163000
186|Zimbabwe|1186000
