1|Monaco|     0.00
2|Qatar|     0.50
3|Azerbaijan|     0.90
4|Guernsey|     0.90
5|Belarus|     1.00
6|Uzbekistan|     1.10
7|Thailand|     1.20
8|Liechtenstein|     1.50
9|Vanuatu|     1.70
10|Isle of Man|     1.80
11|Papua New Guinea|     1.80
12|Cuba|     2.00
13|Seychelles|     2.00
14|Kiribati|     2.00
15|Bermuda|     2.10
16|Jersey|     2.20
17|Tajikistan|     2.20
18|Kuwait|     2.20
19|Singapore|     2.30
20|United Arab Emirates|     2.40
21|Laos|     2.50
22|Mongolia|     2.80
23|Gibraltar|     3.00
24|San Marino|     3.10
25|Guatemala|     3.20
26|Moldova|     3.40
27|Cambodia|     3.50
28|Malaysia|     3.50
29|British Virgin Islands|     3.60
30|Macau|     3.60
31|Brunei|     3.70
32|Norway|     3.70
33|Korea, South|     3.70
34|Faroe Islands|     3.90
35|Switzerland|     3.90
36|Bhutan|     4.00
37|Cayman Islands|     4.00
38|Denmark|     4.20
39|Palau|     4.20
40|China|     4.30
41|Panama|     4.40
42|Saint Kitts and Nevis|     4.50
43|Austria|     4.60
44|Hong Kong|     4.60
45|Nigeria|     4.90
46|Australia|     5.10
47|Bangladesh|     5.10
48|Honduras|     5.10
49|Japan|     5.20
50|Taiwan|     5.20
51|Sri Lanka|     5.40
52|Kazakhstan|     5.50
53|Luxembourg|     5.50
54|Netherlands|     5.50
55|Mexico|     5.60
56|Burma|     5.70
57|Cyprus|     6.00
58|Montserrat|     6.00
59|Virgin Islands|     6.20
60|Israel|     6.40
61|Vietnam|     6.40
62|Trinidad and Tobago|     6.40
63|New Zealand|     6.50
64|Costa Rica|     6.60
65|Peru|     6.70
66|Greenland|     6.80
67|Aruba|     6.90
68|Paraguay|     6.90
69|Andorra|     7.00
70|Malta|     7.00
71|Brazil|     7.00
72|El Salvador|     7.00
73|Armenia|     7.10
74|Indonesia|     7.10
75|Germany|     7.10
76|Uruguay|     7.40
77|Botswana|     7.50
78|Mauritius|     7.50
79|Philippines|     7.50
80|Bahamas, The|     7.60
81|Fiji|     7.60
82|Ecuador|     7.60
83|Russia|     7.60
84|Argentina|     7.90
85|Finland|     7.90
86|United Kingdom|     7.90
87|Anguilla|     8.00
88|Northern Mariana Islands|     8.00
89|Nicaragua|     8.00
90|Central African Republic|     8.00
91|Canada|     8.00
92|Belgium|     8.10
93|Romania|     8.20
94|Bolivia|     8.30
95|Syria|     8.30
96|Sweden|     8.30
97|Italy|     8.40
98|Ukraine|     8.40
99|Iceland|     8.60
100|Chile|     8.70
101|World|     8.80
102|Czech Republic|     9.30
103|Bulgaria|     9.50
104|European Union|     9.50
105|Suriname|     9.50
106|France|     9.50
107|Egypt|     9.70
108|United States|     9.70
109|Morocco|     9.80
110|Algeria|     9.90
111|Turks and Caicos Islands|    10.00
112|Curacao|    10.30
113|Saint Pierre and Miquelon|    10.30
114|Sint Maarten|    10.60
115|Slovenia|    10.60
116|Barbados|    10.70
117|Portugal|    10.70
118|India|    10.80
119|Saudi Arabia|    10.80
120|Antigua and Barbuda|    11.00
121|Guyana|    11.00
122|Ghana|    11.00
123|Colombia|    11.20
124|Hungary|    11.50
125|French Polynesia|    11.70
126|Poland|    11.80
127|Greece|    12.00
128|Niue|    12.00
129|Puerto Rico|    12.00
130|Venezuela|    12.10
131|Turkey|    12.40
132|Grenada|    12.50
133|Slovakia|    12.50
134|Albania|    12.70
135|Jamaica|    12.90
136|Tonga|    13.00
137|Belize|    13.10
138|Cook Islands|    13.10
139|Jordan|    13.40
140|Estonia|    13.50
141|Ireland|    13.70
142|Saint Helena, Ascension, and Tristan da Cunha|    14.00
143|Tunisia|    14.00
144|Dominican Republic|    14.20
145|Maldives|    14.40
146|Iran|    14.60
147|Montenegro|    14.70
148|Bahrain|    15.00
149|Saint Vincent and the Grenadines|    15.00
150|Pakistan|    15.00
151|Oman|    15.00
152|Wallis and Futuna|    15.20
153|Iraq|    15.30
154|Netherlands Antilles|    15.50
155|Lithuania|    16.00
156|Georgia|    16.40
157|West Bank|    16.50
158|Kosovo|    16.60
159|New Caledonia|    17.10
160|Serbia|    17.20
161|Croatia|    17.60
162|Kyrgyzstan|    18.00
163|Sudan|    18.70
164|Latvia|    19.10
165|Comoros|    20.00
166|Saint Lucia|    20.00
167|Timor-Leste|    20.00
168|Spain|    20.00
169|Cape Verde|    21.00
170|Mozambique|    21.00
171|Gabon|    21.00
172|Micronesia, Federated States of|    22.00
173|Dominica|    23.00
174|South Africa|    23.30
175|Mayotte|    25.40
176|Bosnia and Herzegovina|    27.20
177|American Samoa|    29.80
178|Cameroon|    30.00
179|Mali|    30.00
180|Mauritania|    30.00
181|Libya|    30.00
182|Equatorial Guinea|    30.00
183|Macedonia|    33.10
184|Afghanistan|    35.00
185|Yemen|    35.00
186|Marshall Islands|    36.00
187|Gaza Strip|    40.00
188|Kenya|    40.00
189|Swaziland|    40.00
190|Lesotho|    45.00
191|Nepal|    46.00
192|Senegal|    48.00
193|Zambia|    50.00
194|Namibia|    51.20
195|Djibouti|    59.00
196|Cocos (Keeling) Islands|    60.00
197|Turkmenistan|    60.00
198|Burkina Faso|    77.00
199|Liberia|    85.00
200|Nauru|    90.00
201|Zimbabwe|    95.00
