"CountryCode","Language","IsOfficial","Percentage"
"AFG","Pashto","T",52.4
"NLD","Dutch","T",95.6
"ANT","Papiamento","T",86.2
"ALB","Albaniana","T",97.9
"DZA","Arabic","T",86.0
"ASM","Samoan","T",90.6
"AND","Spanish","F",44.6
"AGO","Ovimbundu","F",37.2
"AIA","English","T",0.0
"ATG","Creole English","F",95.7
"ARE","Arabic","T",42.0
"ARG","Spanish","T",96.8
"ARM","Armenian","T",93.4
"ABW","Papiamento","F",76.7
"AUS","English","T",81.2
"AZE","Azerbaijani","T",89.0
"BHS","Creole English","F",89.7
"BHR","Arabic","T",67.7
"BGD","Bengali","T",97.7
"BRB","Bajan","F",95.1
"BEL","Dutch","T",59.2
"BLZ","English","T",50.8
"BEN","Fon","F",39.8
"BMU","English","T",100.0
"BTN","Dzongkha","T",50.0
"BOL","Spanish","T",87.7
"BIH","Serbo-Croatian","T",99.2
"BWA","Tswana","F",75.5
"BRA","Portuguese","T",97.5
"GBR","English","T",97.3
"VGB","English","T",0.0
"BRN","Malay","T",45.5
"BGR","Bulgariana","T",83.2
"BFA","Mossi","F",50.2
"BDI","Kirundi","T",98.1
"CYM","English","T",0.0
"CHL","Spanish","T",89.7
"COK","Maori","T",0.0
"CRI","Spanish","T",97.5
"DJI","Somali","F",43.9
"DMA","Creole English","F",100.0
"DOM","Spanish","T",98.0
"ECU","Spanish","T",93.0
"EGY","Arabic","T",98.8
"SLV","Spanish","T",100.0
"ERI","Tigrinja","T",49.1
"ESP","Spanish","T",74.4
"ZAF","Zulu","T",22.7
"ETH","Oromo","F",31.0
"FLK","English","T",0.0
"FJI","Fijian","T",50.8
"PHL","Pilipino","T",29.3
"FRO","Faroese","T",100.0
"GAB","Fang","F",35.8
"GMB","Malinke","F",34.1
"GEO","Georgiana","T",71.7
"GHA","Akan","F",52.4
"GIB","English","T",88.9
"GRD","Creole English","F",100.0
"GRL","Greenlandic","T",87.5
"GLP","Creole French","F",95.0
"GUM","English","T",37.5
"GTM","Spanish","T",64.7
"GIN","Ful","F",38.6
"GNB","Crioulo","F",36.4
"GUY","Creole English","F",96.4
"HTI","Haiti Creole","F",100.0
"HND","Spanish","T",97.2
"HKG","Canton Chinese","F",88.7
"SJM","Norwegian","T",0.0
"IDN","Javanese","F",39.4
"IND","Hindi","T",39.9
"IRQ","Arabic","T",77.2
"IRN","Persian","T",45.7
"IRL","English","T",98.4
"ISL","Icelandic","T",95.7
"ISR","Hebrew","T",63.1
"ITA","Italian","T",94.1
"TMP","Sunda","F",0.0
"AUT","German","T",92.0
"JAM","Creole English","F",94.2
"JPN","Japanese","T",99.1
"YEM","Arabic","T",99.6
"JOR","Arabic","T",97.9
"CXR","Chinese","F",0.0
"YUG","Serbo-Croatian","T",75.2
"KHM","Khmer","T",88.6
"CMR","Fang","F",19.7
"CAN","English","T",60.4
